listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
The Finch,"22 Dawson Street, Dartmouth",Unknown,$19.8 M,7,,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240229_1421047036745780732866239.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/01/the-finch-4/,Halifax Regional Municipality development blog,110,
The Finch,"22 Dawson Street, Dartmouth",Unknown,$19.8 M,7,,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240213_131020214713821184242073.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/15/the-finch-3/,Halifax Regional Municipality development blog,110,
The Finch,"22 Dawson Street, Dartmouth",Unknown,-1,6,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240111_1418416026558082749555610.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/13/the-finch-2/,Halifax Regional Municipality development blog,-1,
The Finch,"22 Dawson Street, Dartmouth",-1,$19.8M,7,,1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231207_142035.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/08/the-finch/,Halifax Regional Municipality development blog,110,
Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,14.7 M,5,,-1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1358326081553109676460866.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/13/greenfield-estates-2/,Halifax Regional Municipality development blog,72,
Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,14.7 M,5,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_1557222196661337376985748.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/21/greenfield-estates/,Halifax Regional Municipality development blog,72,
The Interchange,"3500 Joseph Howe Drive, Halifax",Banc Group,$42.8 M,13,324,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240420_1535582303734048478224639.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/25/the-interchange-4/,Halifax Regional Municipality development blog,,
The Interchange,"3514 Joseph Howe Drive, Halifax",Banc Group,-1,12,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1404314000074533781686775.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/17/the-interchange/,Halifax Regional Municipality development blog,,
I.W.K. Emergency Department,"University Avenue, Halifax",-1,-1,-1,,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1433134561585514962240691.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/i-w-k-emergency-department/,Halifax Regional Municipality development blog,-1,
The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5 M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/05/20240508_1802117919097773065607354.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/10/kings-wharf-the-keelson/,Halifax Regional Municipality development blog,,
